Item,Item Description,Item Status,Quantity,Subinventory,UOM,Location,Lot Number,Organization
S011817,PRESSURE SENSOR HOLE SEAL [A-10] MA34  726 KOF TML3004 / 7009,Inactive,0,,,,58,AAC Plant 2
S011818,SHOT BLAST RACK / HANGER SHAFT FINISHING TAC SHOT BLAST,Active,7,STOCK CAGE,EA,2H003H,180,AAC Plant 2
S011819,ALL PIN CHECK FIXTURES [ 7MM LOCATOR PIN ] FINISHING,Active,6,STOCK CAGE,EA,2G082H-1,27,AAC Plant 2
S011820,IDEC LOCKABLE E-STOP PUSH BUTTON[ XN4E-BL402MR ] DC91 DC92,Active,4,STOCK CAGE,EA,TCH-D06I,60.38,AAC Plant 1
S011821,CONTRINEX PROXIMITY SWITCH [ DW-AS-701-M12 ] AS91,Active,2,STOCK CAGE,EA,1L002D,93.15,AAC Plant 1
S011822,KEYENCE LASER HEAD [ IG-028 ] AS91,Active,1,STOCK CAGE,EA,1L001A,2117.65,AAC Plant 1
S011823,HYVAIR PNEUMATIC SOLENOID VALVE [SV-406-543B-110A-SRL] (SV406543B110ASRL) FI91 TRIM PRESS,Active,1,STOCK CAGE,EA,1D019H,100,AAC Plant 1
S011824,SMC SOLENOID [SY3140-5G] (SY31405G) DC91 DIE CLAMP PASCAL UNIT,Active,2,STOCK CAGE,EA,1D020A,32.4,AAC Plant 1
S011825,MONARCH 5024T DOOR BRACKET[NT4]MA91,OBSOLETE,0,,,,210,AAC Plant 1
S011826,MIDBROOK 28KW DROP-IN HEATER ELEMENT 480VAC [MB#0024]SE01 DUNNAGE WASHER BOX WASHER,Active,2,STOCK CAGE,EA,1B043 TOP A,550.45,AAC Plant 1
